Physical_activity,free_programs,"3. In the past year have you visited a library branch, accessed the library online or contacted the library by telephone?",frequency_internet,participation_volunteer,TTC,Walk,Drive,Cycle,Taxi,Community program,Wheel-Trans,Rides from others,Frequently_use_TTC,Other services,Driving is faster,Prefer driving,Not affordable,Distance,Stations not accessible,Vehicles not accessible,Crowded,Announcement hard to hear,Not safe,Major repairs,Accessible modification,No,difficulty,10. Which term(s) do you prefer when referring to people aged 65 and older? [Elders],10. Which term(s) do you prefer when referring to people aged 65 and older? [Mature Adults],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Adults],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Persons],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Residents],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Torontonians],10. Which term(s) do you prefer when referring to people aged 65 and older? [Senior Citizens],10. Which term(s) do you prefer when referring to people aged 65 and older? [Seniors],Accessibility,Civic Engagement,Communication and Information,Food Access,Health Care and Home Care Services,Housing Affordability and Availability,Income and Employment,Recreation and Community Services,Respect and Social Inclusion,Safety and Security,Transportation Issues,City of Toronto website,Internet search engine,Calling 311,Calling 211,Local ward councillor,Service directory,"Posters, etc.",Workers in community,Faith group,Word of mouth,people_help,14. What are the first three characters of your postal code?,employment_status,gender,16. What is your sex/gender? [other],Understand spoken English,Speak,Read,None,service_language,18. In what language(s) would you feel most comfortable to receive services? [other],age_group
At least a few times each week,No,Yes,At least once a day,At least a few times a week,NA,NA,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Yes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,Yes,M6N,Employed part-time,Male,NA,1,NA,NA,NA,Spanish,NA,60-64 years
At least once a month,Yes,Yes,At least a few times a week,At least a few times a week,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,Yes,M6N,Employed part-time,Female,NA,1,1,1,NA,Spanish,NA,Less than 54 years
Never,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,No,M6N,Employed full-time,Female,NA,NA,1,1,NA,English,NA,55-59 years
At least a few times each week,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Employed part-time,Female,NA,NA,1,NA,NA,English,NA,60-64 years
At least a few times each week,No,Yes,At least once a day,At least once a month,1,1,1,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,1,1,Yes,m6p,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least once a day,Yes,Yes,At least once a day,Never,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,1,NA,1,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,No,Yes,At least once a day,At least once a week,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,1,Yes,M6P,Retired,Female,NA,NA,1,1,NA,English,NA,75-79 years
At least a few times each week,No,Yes,At least once a day,Never,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,Yes,M6P,Retired,Female,NA,NA,1,1,NA,English,NA,60-64 years
At least once a day,No,Yes,At least once a day,Never,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least a few times each week,No,Yes,At least once a day,Never,1,1,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Retired,Female,NA,1,1,1,NA,Other,what about German?  Dutch? Swedish? Norwegian?  A little bias here?,70-74 years
At least a few times each week,No,No,At least once a day,At least once a day,1,1,NA,1,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,M6P,Employed full-time,Male,NA,1,NA,NA,NA,English,NA,60-64 years
At least once a day,No,Yes,Never,Never,1,1,NA,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Yes,m6p,Unable to work for health or other reasons,Female,NA,1,1,1,NA,Tigrinya,NA,60-64 years
At least once a week,No,Yes,At least once a week,At least once a week,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least once a week,Yes,Yes,At least once a day,Never,NA,1,1,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6p,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,No,No,At least once a day,At least once a day,1,1,1,1,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Employed part-time,Male,NA,1,1,1,NA,English,NA,65-69 years
At least once a week,No,Yes,At least once a day,Never,1,NA,NA,NA,NA,NA,NA,NA,Yes,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Retired,Male,NA,1,1,1,NA,English,NA,75-79 years
At least a few times each week,No,No,At least once a week,At least once a month,NA,1,1,1,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Yes,m6p,Retired,Male,NA,NA,1,1,NA,French,NA,75-79 years
Never,No,No,At least once a day,Never,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,70-74 years
At least a few times each week,No,Yes,At least once a day,At least a few times a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,75-79 years
At least once a week,No,No,At least once a day,At least once a week,NA,1,1,NA,NA,NA,NA,NA,No,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,No,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,Yes,M6P,Employed part-time,Male,NA,1,1,1,NA,English,NA,70-74 years
At least once a week,No,Yes,At least once a day,At least once a month,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,Yes,M6P,Employed part-time,Female,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,No,Yes,At least once a day,Never,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,Yes,m6p,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,Yes,Yes,At least once a day,At least a few times a week,1,1,1,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,1,NA,1,Yes,M6P,Retired,Female,NA,1,1,NA,NA,English,NA,75-79 years
At least a few times each week,Yes,Yes,At least once a day,At least a few times a week,NA,1,1,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,75-79 years
At least once a day,No,No,At least once a day,At least a few times a week,1,1,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,No,NA,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,Yes,M6P,Employed part-time,Female,NA,1,1,1,NA,English,NA,70-74 years
At least once a day,No,Yes,At least once a day,At least once a week,NA,1,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,70-74 years
At least once a week,No,Yes,At least once a day,Never,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Employed full-time,Female,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,No,No,At least once a day,Never,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least a few times each week,No,Yes,At least once a day,At least a few times a week,NA,1,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,1,1,NA,1,Yes,M6P,Employed part-time,Female,NA,1,1,1,NA,English,NA,70-74 years
At least once a day,Yes,Yes,At least once a day,At least once a week,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,55-59 years
At least once a day,No,Yes,At least once a day,At least a few times a week,1,1,1,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,Yes,M6P,Retired,Male,NA,1,1,1,NA,English,NA,60-64 years
At least once a week,No,Yes,At least once a day,At least once a month,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,m6p,"Unemployed, looking for work",Male,NA,1,1,1,NA,English,NA,60-64 years
At least a few times each week,No,Yes,At least once a day,Never,1,1,1,NA,NA,NA,NA,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,Yes,M6P,Retired,Female,NA,NA,1,1,NA,English,NA,65-69 years
At least once a day,Yes,Yes,At least once a month,At least once a month,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,Yes,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,Yes,M6P,Employed full-time,Female,NA,1,NA,NA,NA,English,NA,55-59 years
At least once a day,No,Yes,At least once a day,Never,NA,1,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6p,Retired,Female,NA,1,1,1,NA,English,NA,75-79 years
At least once a day,No,Yes,At least once a day,At least once a week,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,60-64 years
At least a few times each week,No,Yes,At least once a day,Never,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,Yes,M6P,Retired,Male,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,Yes,Yes,At least once a day,At least once a month,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,Yes,M6P,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least once a day,No,No,At least once a day,Never,NA,1,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Retired,Male,NA,1,1,1,NA,English,NA,65-69 years
At least a few times each week,No,Yes,At least once a day,At least once a month,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,Yes,M6P,Employed full-time,Female,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,Yes,Yes,At least once a day,Never,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,1,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,Yes,Yes,At least once a day,At least once a day,1,1,NA,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,70-74 years
At least once a day,Yes,No,At least once a day,Never,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,Yes,M6P,Retired,Male,NA,1,1,1,NA,English,NA,60-64 years
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,No,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,1,Yes,M6P,Employed part-time,Female,NA,1,1,1,NA,English,NA,80-84 years
At least a few times each week,No,Yes,At least once a day,At least once a month,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,M6P,Employed part-time,Female,NA,1,1,1,NA,English,NA,65-69 years
At least a few times each week,Yes,Yes,At least once a day,At least once a month,1,1,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Employed full-time,Male,NA,NA,1,1,NA,English,NA,70-74 years
At least once a day,No,Yes,At least once a day,At least once a week,1,1,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,M6P,Employed full-time,Male,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,No,No,At least once a day,At least a few times a week,1,1,1,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,1,NA,NA,1,Yes,M6P,Employed part-time,Male,NA,NA,1,NA,NA,English,NA,65-69 years
At least a few times each week,No,Yes,At least once a day,At least once a month,1,NA,NA,NA,NA,NA,1,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,Yes,M6P,Unable to work for health or other reasons,Male,NA,1,1,NA,NA,English,NA,65-69 years
At least a few times each week,No,Yes,At least once a day,Never,NA,1,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,1,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least a few times each week,Yes,No,At least once a day,At least once a day,NA,1,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,Yes,m6p,Retired,Male,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,No,Yes,At least once a day,At least once a month,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,Yes,M6P,Retired,Male,NA,1,1,1,NA,English,NA,65-69 years
At least a few times each week,Yes,Yes,At least once a day,At least once a month,1,NA,1,NA,NA,NA,NA,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Employed full-time,Female,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,Yes,Yes,At least once a day,At least once a month,1,1,NA,1,1,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,Yes,M6p,Employed full-time,Female,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,Yes,Yes,At least a few times a week,Never,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6p,Retired,Male,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,No,Yes,At least once a day,At least once a month,NA,1,1,NA,NA,NA,NA,NA,No,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,Yes,M6P,Employed full-time,Male,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,No,Yes,At least once a day,At least once a week,1,1,NA,1,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,1,NA,1,Yes,m6p,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least a few times each week,No,Yes,At least once a day,At least once a week,NA,1,1,NA,NA,NA,NA,NA,No,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,60-64 years
At least a few times each week,No,Yes,At least once a day,At least a few times a week,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,Yes,m6p,Retired,Male,NA,1,1,1,NA,English,NA,70-74 years
At least once a day,Yes,Yes,At least once a day,At least a few times a week,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,Yes,M6P,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least once a month,No,Yes,Never,Never,NA,1,NA,NA,NA,NA,1,NA,No,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,No,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,Yes,M6P,Retired,Female,NA,1,NA,NA,NA,Chinese (Cantonese),NA,75-79 years
At least once a day,No,Yes,At least once a day,Never,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M6P,Unable to work for health or other reasons,Female,NA,1,1,1,NA,English,NA,65-69 years
At least a few times each week,Yes,Yes,At least once a day,Never,1,1,1,1,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Yes,M6P,Retired,Male,NA,1,1,1,NA,English,NA,65-69 years
